,지역,규모,연도,월,분양가
0,강원, 60㎡이하,2015,10,2286
1,강원, 60㎡초과 85㎡이하,2015,10,2212
2,강원, 85㎡초과 102㎡이하,2015,10,2061
3,강원, 102㎡초과,2015,10,2171
4,강원, 60㎡이하,2015,11,2292
5,강원, 60㎡초과 85㎡이하,2015,11,2193
6,강원, 85㎡초과 102㎡이하,2015,11,2061
7,강원, 102㎡초과,2015,11,2171
8,강원, 60㎡이하,2015,12,2292
9,강원, 60㎡초과 85㎡이하,2015,12,2193
10,강원, 85㎡초과 102㎡이하,2015,12,2061
11,강원, 102㎡초과,2015,12,2171
12,강원, 60㎡이하,2016,1,2290
13,강원, 60㎡초과 85㎡이하,2016,1,2199
14,강원, 85㎡초과 102㎡이하,2016,1,2061
15,강원, 102㎡초과,2016,1,2171
16,강원, 60㎡이하,2016,2,2290
17,강원, 60㎡초과 85㎡이하,2016,2,2200
18,강원, 102㎡초과,2016,2,2350
19,강원, 60㎡이하,2016,3,2249
20,강원, 60㎡초과 85㎡이하,2016,3,2221
21,강원, 102㎡초과,2016,3,2350
22,강원, 60㎡이하,2016,4,2143
23,강원, 60㎡초과 85㎡이하,2016,4,2183
24,강원, 102㎡초과,2016,4,2350
25,강원, 60㎡이하,2016,5,2113
26,강원, 60㎡초과 85㎡이하,2016,5,2150
27,강원, 102㎡초과,2016,5,2289
28,강원, 60㎡이하,2016,6,2099
29,강원, 60㎡초과 85㎡이하,2016,6,2136
30,강원, 102㎡초과,2016,6,2339
31,강원, 60㎡이하,2016,7,2069
32,강원, 60㎡초과 85㎡이하,2016,7,2139
33,강원, 102㎡초과,2016,7,2339
34,강원, 60㎡이하,2016,8,2073
35,강원, 60㎡초과 85㎡이하,2016,8,2132
36,강원, 102㎡초과,2016,8,2402
37,강원, 60㎡이하,2016,9,2075
38,강원, 60㎡초과 85㎡이하,2016,9,2135
39,강원, 102㎡초과,2016,9,2380
40,강원, 60㎡이하,2016,10,2111
41,강원, 60㎡초과 85㎡이하,2016,10,2138
42,강원, 85㎡초과 102㎡이하,2016,10,2031
43,강원, 102㎡초과,2016,10,2191
44,강원, 60㎡이하,2016,11,2017
45,강원, 60㎡초과 85㎡이하,2016,11,2073
46,강원, 85㎡초과 102㎡이하,2016,11,2031
47,강원, 102㎡초과,2016,11,2191
48,강원, 60㎡이하,2016,12,2085
49,강원, 60㎡초과 85㎡이하,2016,12,2085
50,강원, 85㎡초과 102㎡이하,2016,12,2248
51,강원, 102㎡초과,2016,12,2247
52,강원, 60㎡이하,2017,1,2084
53,강원, 60㎡초과 85㎡이하,2017,1,2083
54,강원, 85㎡초과 102㎡이하,2017,1,2213
55,강원, 102㎡초과,2017,1,2246
56,강원, 60㎡이하,2017,2,2082
57,강원, 60㎡초과 85㎡이하,2017,2,2090
58,강원, 85㎡초과 102㎡이하,2017,2,2221
59,강원, 102㎡초과,2017,2,2251
60,강원, 60㎡이하,2017,3,2072
61,강원, 60㎡초과 85㎡이하,2017,3,2070
62,강원, 85㎡초과 102㎡이하,2017,3,2221
63,강원, 102㎡초과,2017,3,2251
64,강원, 60㎡이하,2017,4,2072
65,강원, 60㎡초과 85㎡이하,2017,4,2070
66,강원, 85㎡초과 102㎡이하,2017,4,2221
67,강원, 102㎡초과,2017,4,2251
68,강원, 60㎡이하,2017,5,2096
69,강원, 60㎡초과 85㎡이하,2017,5,2084
70,강원, 85㎡초과 102㎡이하,2017,5,2221
71,강원, 102㎡초과,2017,5,2282
72,강원, 60㎡이하,2017,6,2149
73,강원, 60㎡초과 85㎡이하,2017,6,2125
74,강원, 85㎡초과 102㎡이하,2017,6,2221
75,강원, 102㎡초과,2017,6,2400
76,강원, 60㎡이하,2017,7,2167
77,강원, 60㎡초과 85㎡이하,2017,7,2141
78,강원, 85㎡초과 102㎡이하,2017,7,2221
79,강원, 102㎡초과,2017,7,2401
80,강원, 60㎡이하,2017,8,2242
81,강원, 60㎡초과 85㎡이하,2017,8,2269
82,강원, 85㎡초과 102㎡이하,2017,8,2221
83,강원, 102㎡초과,2017,8,2401
84,강원, 60㎡이하,2017,9,2237
85,강원, 60㎡초과 85㎡이하,2017,9,2225
86,강원, 85㎡초과 102㎡이하,2017,9,2221
87,강원, 102㎡초과,2017,9,2319
