,지역,규모,연도,월,분양가
0,경기, 60㎡이하,2015,10,3126
1,경기, 60㎡초과 85㎡이하,2015,10,3239
2,경기, 85㎡초과 102㎡이하,2015,10,3496
3,경기, 102㎡초과,2015,10,3680
4,경기, 60㎡이하,2015,11,3079
5,경기, 60㎡초과 85㎡이하,2015,11,3202
6,경기, 85㎡초과 102㎡이하,2015,11,3391
7,경기, 102㎡초과,2015,11,3724
8,경기, 60㎡이하,2015,12,3293
9,경기, 60㎡초과 85㎡이하,2015,12,3314
10,경기, 85㎡초과 102㎡이하,2015,12,3449
11,경기, 102㎡초과,2015,12,3850
12,경기, 60㎡이하,2016,1,3293
13,경기, 60㎡초과 85㎡이하,2016,1,3313
14,경기, 85㎡초과 102㎡이하,2016,1,3450
15,경기, 102㎡초과,2016,1,3850
16,경기, 60㎡이하,2016,2,3294
17,경기, 60㎡초과 85㎡이하,2016,2,3268
18,경기, 85㎡초과 102㎡이하,2016,2,3381
19,경기, 102㎡초과,2016,2,3669
20,경기, 60㎡이하,2016,3,3441
21,경기, 60㎡초과 85㎡이하,2016,3,3259
22,경기, 85㎡초과 102㎡이하,2016,3,3363
23,경기, 102㎡초과,2016,3,3680
24,경기, 60㎡이하,2016,4,3400
25,경기, 60㎡초과 85㎡이하,2016,4,3243
26,경기, 85㎡초과 102㎡이하,2016,4,3395
27,경기, 102㎡초과,2016,4,3611
28,경기, 60㎡이하,2016,5,3720
29,경기, 60㎡초과 85㎡이하,2016,5,3443
30,경기, 85㎡초과 102㎡이하,2016,5,3370
31,경기, 102㎡초과,2016,5,3956
32,경기, 60㎡이하,2016,6,3781
33,경기, 60㎡초과 85㎡이하,2016,6,3539
34,경기, 85㎡초과 102㎡이하,2016,6,3334
35,경기, 102㎡초과,2016,6,4073
36,경기, 60㎡이하,2016,7,3785
37,경기, 60㎡초과 85㎡이하,2016,7,3531
38,경기, 85㎡초과 102㎡이하,2016,7,3344
39,경기, 102㎡초과,2016,7,4124
40,경기, 60㎡이하,2016,8,3788
41,경기, 60㎡초과 85㎡이하,2016,8,3552
42,경기, 85㎡초과 102㎡이하,2016,8,3303
43,경기, 102㎡초과,2016,8,4046
44,경기, 60㎡이하,2016,9,3444
45,경기, 60㎡초과 85㎡이하,2016,9,3316
46,경기, 85㎡초과 102㎡이하,2016,9,3280
47,경기, 102㎡초과,2016,9,4079
48,경기, 60㎡이하,2016,10,3508
49,경기, 60㎡초과 85㎡이하,2016,10,3389
50,경기, 85㎡초과 102㎡이하,2016,10,3305
51,경기, 102㎡초과,2016,10,4219
52,경기, 60㎡이하,2016,11,3650
53,경기, 60㎡초과 85㎡이하,2016,11,3497
54,경기, 85㎡초과 102㎡이하,2016,11,3439
55,경기, 102㎡초과,2016,11,4230
56,경기, 60㎡이하,2016,12,3602
57,경기, 60㎡초과 85㎡이하,2016,12,3508
58,경기, 85㎡초과 102㎡이하,2016,12,3360
59,경기, 102㎡초과,2016,12,4229
60,경기, 60㎡이하,2017,1,3609
61,경기, 60㎡초과 85㎡이하,2017,1,3508
62,경기, 85㎡초과 102㎡이하,2017,1,3360
63,경기, 102㎡초과,2017,1,4229
64,경기, 60㎡이하,2017,2,3652
65,경기, 60㎡초과 85㎡이하,2017,2,3562
66,경기, 85㎡초과 102㎡이하,2017,2,3454
67,경기, 102㎡초과,2017,2,4296
68,경기, 60㎡이하,2017,3,3773
69,경기, 60㎡초과 85㎡이하,2017,3,3585
70,경기, 85㎡초과 102㎡이하,2017,3,3527
71,경기, 102㎡초과,2017,3,4321
72,경기, 60㎡이하,2017,4,3812
73,경기, 60㎡초과 85㎡이하,2017,4,3552
74,경기, 85㎡초과 102㎡이하,2017,4,3608
75,경기, 102㎡초과,2017,4,4273
76,경기, 60㎡이하,2017,5,3628
77,경기, 60㎡초과 85㎡이하,2017,5,3462
78,경기, 85㎡초과 102㎡이하,2017,5,3591
79,경기, 102㎡초과,2017,5,4045
80,경기, 60㎡이하,2017,6,3671
81,경기, 60㎡초과 85㎡이하,2017,6,3511
82,경기, 85㎡초과 102㎡이하,2017,6,3656
83,경기, 102㎡초과,2017,6,4052
84,경기, 60㎡이하,2017,7,3707
85,경기, 60㎡초과 85㎡이하,2017,7,3624
86,경기, 85㎡초과 102㎡이하,2017,7,3605
87,경기, 102㎡초과,2017,7,4065
88,경기, 60㎡이하,2017,8,3858
89,경기, 60㎡초과 85㎡이하,2017,8,3623
90,경기, 85㎡초과 102㎡이하,2017,8,3694
91,경기, 102㎡초과,2017,8,4037
92,경기, 60㎡이하,2017,9,3902
93,경기, 60㎡초과 85㎡이하,2017,9,3601
94,경기, 85㎡초과 102㎡이하,2017,9,3696
95,경기, 102㎡초과,2017,9,4045
96,경기, 60㎡이하,2017,10,3829
97,경기, 60㎡초과 85㎡이하,2017,10,3574
98,경기, 85㎡초과 102㎡이하,2017,10,3769
99,경기, 102㎡초과,2017,10,4009
100,경기, 60㎡이하,2017,11,3726
