,지역,규모,연도,월,분양가
0,경남, 60㎡이하,2015,10,2239
1,경남, 60㎡초과 85㎡이하,2015,10,2305
2,경남, 85㎡초과 102㎡이하,2015,10,2890
3,경남, 102㎡초과,2015,10,3014
4,경남, 60㎡이하,2015,11,2200
5,경남, 60㎡초과 85㎡이하,2015,11,2322
6,경남, 85㎡초과 102㎡이하,2015,11,2980
7,경남, 102㎡초과,2015,11,3043
8,경남, 60㎡이하,2015,12,2280
9,경남, 60㎡초과 85㎡이하,2015,12,2329
10,경남, 85㎡초과 102㎡이하,2015,12,2934
11,경남, 102㎡초과,2015,12,3019
12,경남, 60㎡이하,2016,1,2270
13,경남, 60㎡초과 85㎡이하,2016,1,2348
14,경남, 85㎡초과 102㎡이하,2016,1,2925
15,경남, 102㎡초과,2016,1,2828
16,경남, 60㎡이하,2016,2,2361
17,경남, 60㎡초과 85㎡이하,2016,2,2375
18,경남, 85㎡초과 102㎡이하,2016,2,2925
19,경남, 102㎡초과,2016,2,2673
20,경남, 60㎡이하,2016,3,2366
21,경남, 60㎡초과 85㎡이하,2016,3,2392
22,경남, 85㎡초과 102㎡이하,2016,3,3053
23,경남, 102㎡초과,2016,3,2645
24,경남, 60㎡이하,2016,4,2413
25,경남, 60㎡초과 85㎡이하,2016,4,2389
26,경남, 85㎡초과 102㎡이하,2016,4,3176
27,경남, 102㎡초과,2016,4,2660
28,경남, 60㎡이하,2016,5,2423
29,경남, 60㎡초과 85㎡이하,2016,5,2380
30,경남, 85㎡초과 102㎡이하,2016,5,3278
31,경남, 102㎡초과,2016,5,2741
32,경남, 60㎡이하,2016,6,2463
33,경남, 60㎡초과 85㎡이하,2016,6,2382
34,경남, 85㎡초과 102㎡이하,2016,6,3052
35,경남, 102㎡초과,2016,6,2740
36,경남, 60㎡이하,2016,7,2432
37,경남, 60㎡초과 85㎡이하,2016,7,2370
38,경남, 85㎡초과 102㎡이하,2016,7,3052
39,경남, 102㎡초과,2016,7,2740
40,경남, 60㎡이하,2016,8,2432
41,경남, 60㎡초과 85㎡이하,2016,8,2381
42,경남, 85㎡초과 102㎡이하,2016,8,3028
43,경남, 102㎡초과,2016,8,2759
44,경남, 60㎡이하,2016,9,2429
45,경남, 60㎡초과 85㎡이하,2016,9,2387
46,경남, 85㎡초과 102㎡이하,2016,9,2844
47,경남, 102㎡초과,2016,9,2736
48,경남, 60㎡이하,2016,10,2495
49,경남, 60㎡초과 85㎡이하,2016,10,2406
50,경남, 85㎡초과 102㎡이하,2016,10,2870
51,경남, 102㎡초과,2016,10,2638
52,경남, 60㎡이하,2016,11,2496
53,경남, 60㎡초과 85㎡이하,2016,11,2351
54,경남, 85㎡초과 102㎡이하,2016,11,2872
55,경남, 102㎡초과,2016,11,2621
56,경남, 60㎡이하,2016,12,2478
57,경남, 60㎡초과 85㎡이하,2016,12,2380
58,경남, 85㎡초과 102㎡이하,2016,12,2872
59,경남, 102㎡초과,2016,12,2621
60,경남, 60㎡이하,2017,1,2478
61,경남, 60㎡초과 85㎡이하,2017,1,2382
62,경남, 85㎡초과 102㎡이하,2017,1,2872
63,경남, 102㎡초과,2017,1,2623
64,경남, 60㎡이하,2017,2,2575
65,경남, 60㎡초과 85㎡이하,2017,2,2375
66,경남, 85㎡초과 102㎡이하,2017,2,2872
67,경남, 102㎡초과,2017,2,2716
68,경남, 60㎡이하,2017,3,2520
69,경남, 60㎡초과 85㎡이하,2017,3,2397
70,경남, 85㎡초과 102㎡이하,2017,3,2872
71,경남, 102㎡초과,2017,3,2657
72,경남, 60㎡이하,2017,4,2554
73,경남, 60㎡초과 85㎡이하,2017,4,2391
74,경남, 85㎡초과 102㎡이하,2017,4,2872
75,경남, 102㎡초과,2017,4,2659
76,경남, 60㎡이하,2017,5,2534
77,경남, 60㎡초과 85㎡이하,2017,5,2407
78,경남, 85㎡초과 102㎡이하,2017,5,2873
79,경남, 102㎡초과,2017,5,2661
80,경남, 60㎡이하,2017,6,2495
81,경남, 60㎡초과 85㎡이하,2017,6,2431
82,경남, 85㎡초과 102㎡이하,2017,6,3042
83,경남, 102㎡초과,2017,6,2811
84,경남, 60㎡이하,2017,7,2562
85,경남, 60㎡초과 85㎡이하,2017,7,2450
86,경남, 85㎡초과 102㎡이하,2017,7,3042
87,경남, 102㎡초과,2017,7,2826
88,경남, 60㎡이하,2017,8,2623
89,경남, 60㎡초과 85㎡이하,2017,8,2499
90,경남, 85㎡초과 102㎡이하,2017,8,3042
91,경남, 102㎡초과,2017,8,2868
92,경남, 60㎡이하,2017,9,2623
93,경남, 60㎡초과 85㎡이하,2017,9,2494
94,경남, 85㎡초과 102㎡이하,2017,9,3983
95,경남, 102㎡초과,2017,9,3148
96,경남, 60㎡이하,2017,10,2582
97,경남, 60㎡초과 85㎡이하,2017,10,2414
98,경남, 85㎡초과 102㎡이하,2017,10,2971
99,경남, 102㎡초과,2017,10,2984
100,경남, 60㎡이하,2017,11,2720
101,경남, 60㎡초과 85㎡이하,2017,11,2581
102,경남, 85㎡초과 102㎡이하,2017,11,2914
103,경남, 102㎡초과,2017,11,2838
104,경남, 60㎡이하,2017,12,2784
105,경남, 60㎡초과 85㎡이하,2017,12,2666
106,경남, 85㎡초과 102㎡이하,2017,12,2914
107,경남, 102㎡초과,2017,12,2836
108,경남, 60㎡이하,2018,1,2784
109,경남, 60㎡초과 85㎡이하,2018,1,2666
110,경남, 85㎡초과 102㎡이하,2018,1,2914
111,경남, 102㎡초과,2018,1,2836
112,경남, 60㎡이하,2018,2,2784
113,경남, 60㎡초과 85㎡이하,2018,2,2673
