,지역,규모,연도,월,분양가
0,경북, 60㎡이하,2015,10,2204
1,경북, 60㎡초과 85㎡이하,2015,10,2145
2,경북, 85㎡초과 102㎡이하,2015,10,2308
3,경북, 102㎡초과,2015,10,2222
4,경북, 60㎡이하,2015,11,2210
5,경북, 60㎡초과 85㎡이하,2015,11,2186
6,경북, 85㎡초과 102㎡이하,2015,11,2516
7,경북, 102㎡초과,2015,11,2370
8,경북, 60㎡이하,2015,12,2178
9,경북, 60㎡초과 85㎡이하,2015,12,2184
10,경북, 85㎡초과 102㎡이하,2015,12,2516
11,경북, 102㎡초과,2015,12,2370
12,경북, 60㎡이하,2016,1,2178
13,경북, 60㎡초과 85㎡이하,2016,1,2185
14,경북, 85㎡초과 102㎡이하,2016,1,2516
15,경북, 102㎡초과,2016,1,2346
16,경북, 60㎡이하,2016,2,2172
17,경북, 60㎡초과 85㎡이하,2016,2,2191
18,경북, 85㎡초과 102㎡이하,2016,2,2532
19,경북, 102㎡초과,2016,2,2346
20,경북, 60㎡이하,2016,3,2173
21,경북, 60㎡초과 85㎡이하,2016,3,2191
22,경북, 85㎡초과 102㎡이하,2016,3,2675
23,경북, 102㎡초과,2016,3,2314
24,경북, 60㎡이하,2016,4,2171
25,경북, 60㎡초과 85㎡이하,2016,4,2189
26,경북, 85㎡초과 102㎡이하,2016,4,2675
27,경북, 102㎡초과,2016,4,2314
28,경북, 60㎡이하,2016,5,2171
29,경북, 60㎡초과 85㎡이하,2016,5,2189
30,경북, 85㎡초과 102㎡이하,2016,5,2675
31,경북, 102㎡초과,2016,5,2323
32,경북, 60㎡이하,2016,6,2133
33,경북, 60㎡초과 85㎡이하,2016,6,2256
34,경북, 85㎡초과 102㎡이하,2016,6,2675
35,경북, 102㎡초과,2016,6,2526
36,경북, 60㎡이하,2016,7,2114
37,경북, 60㎡초과 85㎡이하,2016,7,2265
38,경북, 85㎡초과 102㎡이하,2016,7,2675
39,경북, 102㎡초과,2016,7,2526
40,경북, 60㎡이하,2016,8,2106
41,경북, 60㎡초과 85㎡이하,2016,8,2248
42,경북, 85㎡초과 102㎡이하,2016,8,2630
43,경북, 102㎡초과,2016,8,2576
44,경북, 60㎡이하,2016,9,2118
45,경북, 60㎡초과 85㎡이하,2016,9,2263
46,경북, 85㎡초과 102㎡이하,2016,9,2630
47,경북, 102㎡초과,2016,9,2550
48,경북, 60㎡이하,2016,10,2277
49,경북, 60㎡초과 85㎡이하,2016,10,2302
50,경북, 85㎡초과 102㎡이하,2016,10,2653
51,경북, 102㎡초과,2016,10,2544
52,경북, 60㎡이하,2016,11,2290
53,경북, 60㎡초과 85㎡이하,2016,11,2303
54,경북, 85㎡초과 102㎡이하,2016,11,2690
55,경북, 102㎡초과,2016,11,2499
56,경북, 60㎡이하,2016,12,2327
57,경북, 60㎡초과 85㎡이하,2016,12,2314
58,경북, 85㎡초과 102㎡이하,2016,12,2690
59,경북, 102㎡초과,2016,12,2499
60,경북, 60㎡이하,2017,1,2328
61,경북, 60㎡초과 85㎡이하,2017,1,2315
62,경북, 85㎡초과 102㎡이하,2017,1,2690
63,경북, 102㎡초과,2017,1,2540
64,경북, 60㎡이하,2017,2,2340
65,경북, 60㎡초과 85㎡이하,2017,2,2306
66,경북, 85㎡초과 102㎡이하,2017,2,2690
67,경북, 102㎡초과,2017,2,2540
68,경북, 60㎡이하,2017,3,2342
69,경북, 60㎡초과 85㎡이하,2017,3,2286
70,경북, 85㎡초과 102㎡이하,2017,3,2690
71,경북, 102㎡초과,2017,3,2606
72,경북, 60㎡이하,2017,4,2390
73,경북, 60㎡초과 85㎡이하,2017,4,2307
74,경북, 85㎡초과 102㎡이하,2017,4,2690
75,경북, 102㎡초과,2017,4,2606
76,경북, 60㎡이하,2017,5,2390
77,경북, 60㎡초과 85㎡이하,2017,5,2358
78,경북, 85㎡초과 102㎡이하,2017,5,2690
79,경북, 102㎡초과,2017,5,2667
80,경북, 60㎡이하,2017,6,2390
81,경북, 60㎡초과 85㎡이하,2017,6,2376
82,경북, 85㎡초과 102㎡이하,2017,6,2690
83,경북, 102㎡초과,2017,6,2674
84,경북, 60㎡이하,2017,7,2390
85,경북, 60㎡초과 85㎡이하,2017,7,2376
86,경북, 85㎡초과 102㎡이하,2017,7,2690
87,경북, 102㎡초과,2017,7,2674
88,경북, 60㎡이하,2017,8,2506
89,경북, 60㎡초과 85㎡이하,2017,8,2426
90,경북, 85㎡초과 102㎡이하,2017,8,2867
91,경북, 102㎡초과,2017,8,2624
92,경북, 60㎡이하,2017,9,2488
93,경북, 60㎡초과 85㎡이하,2017,9,2413
94,경북, 85㎡초과 102㎡이하,2017,9,2867
95,경북, 102㎡초과,2017,9,2969
96,경북, 60㎡이하,2017,10,2363
97,경북, 60㎡초과 85㎡이하,2017,10,2356
98,경북, 85㎡초과 102㎡이하,2017,10,2867
99,경북, 102㎡초과,2017,10,2969
100,경북, 60㎡이하,2017,11,2407
101,경북, 60㎡초과 85㎡이하,2017,11,2383
102,경북, 102㎡초과,2017,11,2985
103,경북, 60㎡이하,2017,12,2407
104,경북, 60㎡초과 85㎡이하,2017,12,2383
105,경북, 102㎡초과,2017,12,2985
106,경북, 60㎡이하,2018,1,2525
107,경북, 60㎡초과 85㎡이하,2018,1,2435
108,경북, 102㎡초과,2018,1,2867
109,경북, 60㎡이하,2018,2,2525
110,경북, 60㎡초과 85㎡이하,2018,2,2435
111,경북, 102㎡초과,2018,2,2867
112,경북, 60㎡이하,2018,3,2525
113,경북, 60㎡초과 85㎡이하,2018,3,2421
114,경북, 102㎡초과,2018,3,2788
115,경북, 60㎡이하,2018,4,2471
116,경북, 60㎡초과 85㎡이하,2018,4,2422
117,경북, 102㎡초과,2018,4,2788
118,경북, 60㎡이하,2018,5,2471
119,경북, 60㎡초과 85㎡이하,2018,5,2611
120,경북, 102㎡초과,2018,5,2864
121,경북, 60㎡이하,2018,6,2471
122,경북, 60㎡초과 85㎡이하,2018,6,2614
123,경북, 102㎡초과,2018,6,2903
124,경북, 60㎡이하,2018,7,2471
125,경북, 60㎡초과 85㎡이하,2018,7,2654
126,경북, 102㎡초과,2018,7,2903
127,경북, 60㎡이하,2018,8,2477
128,경북, 60㎡초과 85㎡이하,2018,8,2610
129,경북, 102㎡초과,2018,8,2810
130,경북, 60㎡이하,2018,9,2509
131,경북, 60㎡초과 85㎡이하,2018,9,2647
132,경북, 85㎡초과 102㎡이하,2018,9,2550
133,경북, 102㎡초과,2018,9,2828
134,경북, 60㎡이하,2018,10,2509
135,경북, 60㎡초과 85㎡이하,2018,10,2620
136,경북, 85㎡초과 102㎡이하,2018,10,2699
137,경북, 102㎡초과,2018,10,2948
138,경북, 60㎡이하,2018,11,2548
139,경북, 60㎡초과 85㎡이하,2018,11,2680
140,경북, 85㎡초과 102㎡이하,2018,11,2699
141,경북, 102㎡초과,2018,11,2884
142,경북, 60㎡이하,2018,12,2548
143,경북, 60㎡초과 85㎡이하,2018,12,2680
144,경북, 85㎡초과 102㎡이하,2018,12,2699
145,경북, 102㎡초과,2018,12,2884
146,경북, 60㎡이하,2019,1,2486
147,경북, 60㎡초과 85㎡이하,2019,1,2626
148,경북, 85㎡초과 102㎡이하,2019,1,2667
149,경북, 102㎡초과,2019,1,2905
150,경북, 60㎡이하,2019,2,2486
151,경북, 60㎡초과 85㎡이하,2019,2,2636
152,경북, 85㎡초과 102㎡이하,2019,2,2667
153,경북, 102㎡초과,2019,2,2989
154,경북, 60㎡이하,2019,3,2486
155,경북, 60㎡초과 85㎡이하,2019,3,2636
156,경북, 85㎡초과 102㎡이하,2019,3,2667
157,경북, 102㎡초과,2019,3,3098
158,경북, 60㎡이하,2019,4,2472
159,경북, 60㎡초과 85㎡이하,2019,4,2608
160,경북, 85㎡초과 102㎡이하,2019,4,2667
161,경북, 102㎡초과,2019,4,3098
162,경북, 60㎡이하,2019,5,2472
163,경북, 60㎡초과 85㎡이하,2019,5,2522
164,경북, 85㎡초과 102㎡이하,2019,5,2667
165,경북, 102㎡초과,2019,5,3076
166,경북, 60㎡이하,2019,6,2472
167,경북, 60㎡초과 85㎡이하,2019,6,2522
168,경북, 85㎡초과 102㎡이하,2019,6,2667
169,경북, 102㎡초과,2019,6,3076
170,경북, 60㎡이하,2019,7,2472
171,경북, 60㎡초과 85㎡이하,2019,7,2522
172,경북, 85㎡초과 102㎡이하,2019,7,2667
173,경북, 102㎡초과,2019,7,3076
174,경북, 60㎡이하,2019,8,2578
175,경북, 60㎡초과 85㎡이하,2019,8,2599
176,경북, 85㎡초과 102㎡이하,2019,8,2667
177,경북, 102㎡초과,2019,8,3183
178,경북, 60㎡이하,2019,9,2578
179,경북, 60㎡초과 85㎡이하,2019,9,2638
180,경북, 85㎡초과 102㎡이하,2019,9,2726
181,경북, 102㎡초과,2019,9,3362
182,경북, 60㎡이하,2019,10,2578
183,경북, 60㎡초과 85㎡이하,2019,10,2897
184,경북, 85㎡초과 102㎡이하,2019,10,2604
185,경북, 102㎡초과,2019,10,3457
186,경북, 60㎡이하,2019,11,2578
187,경북, 60㎡초과 85㎡이하,2019,11,2897
188,경북, 85㎡초과 102㎡이하,2019,11,2604
189,경북, 102㎡초과,2019,11,3457
190,경북, 60㎡이하,2019,12,2578
191,경북, 60㎡초과 85㎡이하,2019,12,2897
192,경북, 85㎡초과 102㎡이하,2019,12,2604
193,경북, 102㎡초과,2019,12,3457
194,경북, 60㎡이하,2020,1,2578
195,경북, 60㎡초과 85㎡이하,2020,1,3061
196,경북, 102㎡초과,2020,1,3457
197,경북, 60㎡이하,2020,2,2578
198,경북, 60㎡초과 85㎡이하,2020,2,2549
199,경북, 102㎡초과,2020,2,2756
