,지역,규모,연도,월,분양가
0,광주, 60㎡이하,2015,10,2253
1,광주, 60㎡초과 85㎡이하,2015,10,2439
2,광주, 60㎡이하,2015,11,2251
3,광주, 60㎡초과 85㎡이하,2015,11,2444
4,광주, 60㎡이하,2015,12,2395
5,광주, 60㎡초과 85㎡이하,2015,12,2489
6,광주, 60㎡이하,2016,1,2395
7,광주, 60㎡초과 85㎡이하,2016,1,2582
8,광주, 60㎡이하,2016,2,2395
9,광주, 60㎡초과 85㎡이하,2016,2,2582
10,광주, 60㎡이하,2016,3,2470
11,광주, 60㎡초과 85㎡이하,2016,3,2601
12,광주, 60㎡이하,2016,4,2600
13,광주, 60㎡초과 85㎡이하,2016,4,2696
14,광주, 85㎡초과 102㎡이하,2016,4,2754
15,광주, 102㎡초과,2016,4,3518
16,광주, 60㎡이하,2016,5,2567
17,광주, 60㎡초과 85㎡이하,2016,5,2723
18,광주, 85㎡초과 102㎡이하,2016,5,2754
19,광주, 102㎡초과,2016,5,3518
20,광주, 60㎡이하,2016,6,2567
21,광주, 60㎡초과 85㎡이하,2016,6,2743
22,광주, 85㎡초과 102㎡이하,2016,6,2754
23,광주, 102㎡초과,2016,6,3518
24,광주, 60㎡이하,2016,7,2567
25,광주, 60㎡초과 85㎡이하,2016,7,2748
26,광주, 85㎡초과 102㎡이하,2016,7,2754
27,광주, 102㎡초과,2016,7,3518
28,광주, 60㎡이하,2016,8,2567
29,광주, 60㎡초과 85㎡이하,2016,8,2728
30,광주, 85㎡초과 102㎡이하,2016,8,2754
31,광주, 102㎡초과,2016,8,3518
32,광주, 60㎡이하,2016,9,2567
33,광주, 60㎡초과 85㎡이하,2016,9,2724
34,광주, 85㎡초과 102㎡이하,2016,9,2754
35,광주, 102㎡초과,2016,9,3087
36,광주, 60㎡이하,2016,10,2568
37,광주, 60㎡초과 85㎡이하,2016,10,2728
38,광주, 85㎡초과 102㎡이하,2016,10,2754
39,광주, 102㎡초과,2016,10,3087
40,광주, 60㎡이하,2016,11,2559
41,광주, 60㎡초과 85㎡이하,2016,11,2784
42,광주, 85㎡초과 102㎡이하,2016,11,2817
43,광주, 102㎡초과,2016,11,3273
44,광주, 60㎡이하,2016,12,2557
45,광주, 60㎡초과 85㎡이하,2016,12,2794
46,광주, 85㎡초과 102㎡이하,2016,12,2817
47,광주, 102㎡초과,2016,12,3273
48,광주, 60㎡이하,2017,1,2557
49,광주, 60㎡초과 85㎡이하,2017,1,2790
50,광주, 85㎡초과 102㎡이하,2017,1,2817
51,광주, 102㎡초과,2017,1,3273
52,광주, 60㎡이하,2017,2,2557
53,광주, 60㎡초과 85㎡이하,2017,2,2790
54,광주, 85㎡초과 102㎡이하,2017,2,2817
55,광주, 102㎡초과,2017,2,3273
56,광주, 60㎡이하,2017,3,2448
57,광주, 60㎡초과 85㎡이하,2017,3,2798
58,광주, 85㎡초과 102㎡이하,2017,3,2817
59,광주, 102㎡초과,2017,3,3273
60,광주, 60㎡이하,2017,4,2448
61,광주, 60㎡초과 85㎡이하,2017,4,2852
62,광주, 85㎡초과 102㎡이하,2017,4,2880
63,광주, 102㎡초과,2017,4,3358
64,광주, 60㎡초과 85㎡이하,2017,5,2877
65,광주, 85㎡초과 102㎡이하,2017,5,2880
66,광주, 102㎡초과,2017,5,3358
67,광주, 60㎡초과 85㎡이하,2017,6,2899
68,광주, 85㎡초과 102㎡이하,2017,6,2880
69,광주, 102㎡초과,2017,6,3358
70,광주, 60㎡초과 85㎡이하,2017,7,2881
71,광주, 85㎡초과 102㎡이하,2017,7,2880
72,광주, 102㎡초과,2017,7,3358
73,광주, 60㎡초과 85㎡이하,2017,8,2890
74,광주, 85㎡초과 102㎡이하,2017,8,2880
75,광주, 102㎡초과,2017,8,3358
76,광주, 60㎡초과 85㎡이하,2017,9,2935
77,광주, 85㎡초과 102㎡이하,2017,9,2880
78,광주, 102㎡초과,2017,9,3037
79,광주, 60㎡이하,2017,10,2776
80,광주, 60㎡초과 85㎡이하,2017,10,2906
81,광주, 85㎡초과 102㎡이하,2017,10,2880
82,광주, 102㎡초과,2017,10,3016
83,광주, 60㎡이하,2017,11,2776
84,광주, 60㎡초과 85㎡이하,2017,11,2888
