,지역,규모,연도,월,분양가
0,대구, 60㎡이하,2015,10,2614
1,대구, 60㎡초과 85㎡이하,2015,10,2696
2,대구, 85㎡초과 102㎡이하,2015,10,2557
3,대구, 102㎡초과,2015,10,2598
4,대구, 60㎡이하,2015,11,2503
5,대구, 60㎡초과 85㎡이하,2015,11,2806
6,대구, 85㎡초과 102㎡이하,2015,11,2557
7,대구, 102㎡초과,2015,11,2743
8,대구, 60㎡이하,2015,12,3282
9,대구, 60㎡초과 85㎡이하,2015,12,2971
10,대구, 85㎡초과 102㎡이하,2015,12,2532
11,대구, 102㎡초과,2015,12,2743
12,대구, 60㎡이하,2016,1,3341
13,대구, 60㎡초과 85㎡이하,2016,1,3103
14,대구, 85㎡초과 102㎡이하,2016,1,2532
15,대구, 102㎡초과,2016,1,2743
16,대구, 60㎡이하,2016,2,3341
17,대구, 60㎡초과 85㎡이하,2016,2,3079
18,대구, 85㎡초과 102㎡이하,2016,2,2532
19,대구, 102㎡초과,2016,2,2743
20,대구, 60㎡이하,2016,3,3341
21,대구, 60㎡초과 85㎡이하,2016,3,3154
22,대구, 85㎡초과 102㎡이하,2016,3,2539
23,대구, 102㎡초과,2016,3,2743
24,대구, 60㎡이하,2016,4,3341
25,대구, 60㎡초과 85㎡이하,2016,4,3168
26,대구, 85㎡초과 102㎡이하,2016,4,2539
27,대구, 102㎡초과,2016,4,2743
28,대구, 60㎡이하,2016,5,3385
29,대구, 60㎡초과 85㎡이하,2016,5,3166
30,대구, 85㎡초과 102㎡이하,2016,5,2539
31,대구, 102㎡초과,2016,5,2743
32,대구, 60㎡이하,2016,6,3385
33,대구, 60㎡초과 85㎡이하,2016,6,3165
34,대구, 85㎡초과 102㎡이하,2016,6,2839
35,대구, 102㎡초과,2016,6,2743
36,대구, 60㎡이하,2016,7,3385
37,대구, 60㎡초과 85㎡이하,2016,7,3153
38,대구, 85㎡초과 102㎡이하,2016,7,2884
39,대구, 102㎡초과,2016,7,2743
40,대구, 60㎡이하,2016,8,3182
41,대구, 60㎡초과 85㎡이하,2016,8,3154
42,대구, 85㎡초과 102㎡이하,2016,8,3045
43,대구, 102㎡초과,2016,8,3045
