,지역,규모,연도,월,분양가
0,대전, 60㎡이하,2015,10,2585
1,대전, 60㎡초과 85㎡이하,2015,10,2428
2,대전, 85㎡초과 102㎡이하,2015,10,2461
3,대전, 60㎡이하,2015,11,2585
4,대전, 60㎡초과 85㎡이하,2015,11,2428
5,대전, 85㎡초과 102㎡이하,2015,11,2461
6,대전, 60㎡이하,2015,12,2585
7,대전, 60㎡초과 85㎡이하,2015,12,2428
8,대전, 85㎡초과 102㎡이하,2015,12,2461
9,대전, 60㎡이하,2016,1,2585
10,대전, 60㎡초과 85㎡이하,2016,1,2428
11,대전, 85㎡초과 102㎡이하,2016,1,2461
12,대전, 60㎡이하,2016,2,2585
13,대전, 60㎡초과 85㎡이하,2016,2,2428
14,대전, 85㎡초과 102㎡이하,2016,2,2461
15,대전, 60㎡이하,2016,3,2585
16,대전, 60㎡초과 85㎡이하,2016,3,2428
17,대전, 85㎡초과 102㎡이하,2016,3,2461
18,대전, 60㎡이하,2016,4,2529
19,대전, 60㎡초과 85㎡이하,2016,4,2425
20,대전, 60㎡이하,2016,5,2582
21,대전, 60㎡초과 85㎡이하,2016,5,2427
22,대전, 60㎡이하,2016,6,2648
23,대전, 60㎡초과 85㎡이하,2016,6,2547
24,대전, 60㎡이하,2016,7,2648
25,대전, 60㎡초과 85㎡이하,2016,7,2547
26,대전, 60㎡이하,2016,8,2648
27,대전, 60㎡초과 85㎡이하,2016,8,2547
28,대전, 60㎡이하,2016,9,2602
29,대전, 60㎡초과 85㎡이하,2016,9,2492
30,대전, 60㎡이하,2016,10,3013
31,대전, 60㎡초과 85㎡이하,2016,10,3072
32,대전, 85㎡초과 102㎡이하,2016,10,2600
33,대전, 102㎡초과,2016,10,4328
34,대전, 60㎡이하,2016,11,2671
35,대전, 60㎡초과 85㎡이하,2016,11,2660
36,대전, 85㎡초과 102㎡이하,2016,11,2600
37,대전, 102㎡초과,2016,11,4328
38,대전, 60㎡이하,2016,12,2671
39,대전, 60㎡초과 85㎡이하,2016,12,2660
40,대전, 85㎡초과 102㎡이하,2016,12,2600
41,대전, 102㎡초과,2016,12,4328
42,대전, 60㎡이하,2017,1,2671
43,대전, 60㎡초과 85㎡이하,2017,1,2660
44,대전, 85㎡초과 102㎡이하,2017,1,2600
45,대전, 102㎡초과,2017,1,4328
46,대전, 60㎡이하,2017,2,2776
47,대전, 60㎡초과 85㎡이하,2017,2,2681
48,대전, 85㎡초과 102㎡이하,2017,2,2600
49,대전, 102㎡초과,2017,2,4328
50,대전, 60㎡이하,2017,3,2776
51,대전, 60㎡초과 85㎡이하,2017,3,2681
52,대전, 85㎡초과 102㎡이하,2017,3,2600
53,대전, 102㎡초과,2017,3,4328
54,대전, 60㎡이하,2017,4,2849
55,대전, 60㎡초과 85㎡이하,2017,4,2685
56,대전, 85㎡초과 102㎡이하,2017,4,2600
57,대전, 102㎡초과,2017,4,4328
58,대전, 60㎡이하,2017,5,2849
59,대전, 60㎡초과 85㎡이하,2017,5,2685
60,대전, 85㎡초과 102㎡이하,2017,5,2600
61,대전, 102㎡초과,2017,5,4328
62,대전, 60㎡이하,2017,6,2849
63,대전, 60㎡초과 85㎡이하,2017,6,2685
64,대전, 85㎡초과 102㎡이하,2017,6,2600
65,대전, 102㎡초과,2017,6,4328
66,대전, 60㎡이하,2017,7,2849
67,대전, 60㎡초과 85㎡이하,2017,7,2699
68,대전, 85㎡초과 102㎡이하,2017,7,2834
69,대전, 102㎡초과,2017,7,4328
70,대전, 60㎡이하,2017,8,2849
71,대전, 60㎡초과 85㎡이하,2017,8,2699
72,대전, 85㎡초과 102㎡이하,2017,8,2834
73,대전, 102㎡초과,2017,8,4328
74,대전, 60㎡이하,2017,9,3019
75,대전, 60㎡초과 85㎡이하,2017,9,2857
76,대전, 85㎡초과 102㎡이하,2017,9,2834
77,대전, 102㎡초과,2017,9,4328
78,대전, 60㎡이하,2017,10,2729
79,대전, 60㎡초과 85㎡이하,2017,10,2715
80,대전, 85㎡초과 102㎡이하,2017,10,3067
81,대전, 60㎡이하,2017,11,2693
82,대전, 60㎡초과 85㎡이하,2017,11,2763
83,대전, 85㎡초과 102㎡이하,2017,11,3067
84,대전, 60㎡이하,2017,12,2628
85,대전, 60㎡초과 85㎡이하,2017,12,2690
86,대전, 85㎡초과 102㎡이하,2017,12,3067
87,대전, 60㎡이하,2018,1,2628
88,대전, 60㎡초과 85㎡이하,2018,1,2750
89,대전, 85㎡초과 102㎡이하,2018,1,3067
90,대전, 60㎡이하,2018,2,2498
91,대전, 60㎡초과 85㎡이하,2018,2,2882
92,대전, 85㎡초과 102㎡이하,2018,2,3067
93,대전, 60㎡이하,2018,3,2498
94,대전, 60㎡초과 85㎡이하,2018,3,2882
95,대전, 85㎡초과 102㎡이하,2018,3,3067
96,대전, 60㎡이하,2018,4,2498
97,대전, 60㎡초과 85㎡이하,2018,4,2977
98,대전, 85㎡초과 102㎡이하,2018,4,3067
99,대전, 60㎡이하,2018,5,2498
100,대전, 60㎡초과 85㎡이하,2018,5,2977
101,대전, 85㎡초과 102㎡이하,2018,5,3067
102,대전, 60㎡이하,2018,6,2498
103,대전, 60㎡초과 85㎡이하,2018,6,2977
104,대전, 85㎡초과 102㎡이하,2018,6,3067
105,대전, 60㎡이하,2018,7,2498
106,대전, 60㎡초과 85㎡이하,2018,7,2946
107,대전, 60㎡이하,2018,8,2498
108,대전, 60㎡초과 85㎡이하,2018,8,2946
109,대전, 60㎡이하,2018,9,2498
110,대전, 60㎡초과 85㎡이하,2018,9,3366
111,대전, 102㎡초과,2018,9,4877
112,대전, 60㎡이하,2018,10,2498
113,대전, 60㎡초과 85㎡이하,2018,10,3342
114,대전, 102㎡초과,2018,10,4877
115,대전, 60㎡이하,2018,11,2498
116,대전, 60㎡초과 85㎡이하,2018,11,3342
117,대전, 102㎡초과,2018,11,4877
118,대전, 60㎡초과 85㎡이하,2018,12,3632
119,대전, 102㎡초과,2018,12,4877
120,대전, 60㎡초과 85㎡이하,2019,1,3677
121,대전, 102㎡초과,2019,1,4877
122,대전, 60㎡초과 85㎡이하,2019,2,3677
123,대전, 102㎡초과,2019,2,4877
124,대전, 60㎡초과 85㎡이하,2019,3,3603
125,대전, 102㎡초과,2019,3,4505
126,대전, 60㎡초과 85㎡이하,2019,4,3575
127,대전, 102㎡초과,2019,4,4505
128,대전, 60㎡초과 85㎡이하,2019,5,3575
129,대전, 102㎡초과,2019,5,4505
130,대전, 60㎡이하,2019,6,3334
131,대전, 60㎡초과 85㎡이하,2019,6,3470
132,대전, 102㎡초과,2019,6,4505
133,대전, 60㎡이하,2019,7,3416
134,대전, 60㎡초과 85㎡이하,2019,7,3467
135,대전, 102㎡초과,2019,7,4505
136,대전, 60㎡이하,2019,8,3416
137,대전, 60㎡초과 85㎡이하,2019,8,3327
138,대전, 102㎡초과,2019,8,4505
139,대전, 60㎡이하,2019,9,3611
140,대전, 60㎡초과 85㎡이하,2019,9,3369
141,대전, 102㎡초과,2019,9,4500
142,대전, 60㎡이하,2019,10,3534
143,대전, 60㎡초과 85㎡이하,2019,10,3567
144,대전, 102㎡초과,2019,10,4500
145,대전, 60㎡이하,2019,11,3534
146,대전, 60㎡초과 85㎡이하,2019,11,3567
147,대전, 102㎡초과,2019,11,4500
148,대전, 60㎡이하,2019,12,3534
149,대전, 60㎡초과 85㎡이하,2019,12,3567
150,대전, 102㎡초과,2019,12,4500
151,대전, 60㎡이하,2020,1,3534
152,대전, 60㎡초과 85㎡이하,2020,1,3567
153,대전, 102㎡초과,2020,1,4500
154,대전, 60㎡이하,2020,2,3534
155,대전, 60㎡초과 85㎡이하,2020,2,3567
156,대전, 102㎡초과,2020,2,4500
