,지역,규모,연도,월,분양가
0,부산, 60㎡이하,2015,10,2950
1,부산, 60㎡초과 85㎡이하,2015,10,2999
2,부산, 85㎡초과 102㎡이하,2015,10,2957
3,부산, 102㎡초과,2015,10,3500
4,부산, 60㎡이하,2015,11,2982
5,부산, 60㎡초과 85㎡이하,2015,11,3037
6,부산, 85㎡초과 102㎡이하,2015,11,2957
7,부산, 102㎡초과,2015,11,3739
8,부산, 60㎡이하,2015,12,2951
9,부산, 60㎡초과 85㎡이하,2015,12,3032
10,부산, 85㎡초과 102㎡이하,2015,12,2957
11,부산, 102㎡초과,2015,12,3739
12,부산, 60㎡이하,2016,1,2951
13,부산, 60㎡초과 85㎡이하,2016,1,3057
14,부산, 85㎡초과 102㎡이하,2016,1,2957
15,부산, 102㎡초과,2016,1,3812
16,부산, 60㎡이하,2016,2,2999
17,부산, 60㎡초과 85㎡이하,2016,2,3060
18,부산, 85㎡초과 102㎡이하,2016,2,2957
19,부산, 102㎡초과,2016,2,3812
20,부산, 60㎡이하,2016,3,2951
21,부산, 60㎡초과 85㎡이하,2016,3,3102
22,부산, 85㎡초과 102㎡이하,2016,3,2957
23,부산, 102㎡초과,2016,3,3727
24,부산, 60㎡이하,2016,4,2973
25,부산, 60㎡초과 85㎡이하,2016,4,3087
26,부산, 85㎡초과 102㎡이하,2016,4,2930
27,부산, 102㎡초과,2016,4,3727
28,부산, 60㎡이하,2016,5,2977
29,부산, 60㎡초과 85㎡이하,2016,5,3071
30,부산, 85㎡초과 102㎡이하,2016,5,3096
31,부산, 102㎡초과,2016,5,3536
32,부산, 60㎡이하,2016,6,2972
33,부산, 60㎡초과 85㎡이하,2016,6,3069
34,부산, 85㎡초과 102㎡이하,2016,6,3253
35,부산, 102㎡초과,2016,6,3723
36,부산, 60㎡이하,2016,7,2999
37,부산, 60㎡초과 85㎡이하,2016,7,3081
38,부산, 85㎡초과 102㎡이하,2016,7,3297
39,부산, 102㎡초과,2016,7,3874
40,부산, 60㎡이하,2016,8,3051
41,부산, 60㎡초과 85㎡이하,2016,8,3101
42,부산, 85㎡초과 102㎡이하,2016,8,3383
43,부산, 102㎡초과,2016,8,3874
44,부산, 60㎡이하,2016,9,3047
45,부산, 60㎡초과 85㎡이하,2016,9,3107
