,지역,규모,연도,월,분양가
0,서울, 60㎡이하,2015,10,5652
1,서울, 60㎡초과 85㎡이하,2015,10,5882
2,서울, 85㎡초과 102㎡이하,2015,10,5721
3,서울, 102㎡초과,2015,10,5879
4,서울, 60㎡이하,2015,11,6320
5,서울, 60㎡초과 85㎡이하,2015,11,5964
6,서울, 85㎡초과 102㎡이하,2015,11,7092
7,서울, 102㎡초과,2015,11,6551
8,서울, 60㎡이하,2015,12,6321
9,서울, 60㎡초과 85㎡이하,2015,12,5966
10,서울, 85㎡초과 102㎡이하,2015,12,6513
11,서울, 102㎡초과,2015,12,6551
12,서울, 60㎡이하,2016,1,6427
13,서울, 60㎡초과 85㎡이하,2016,1,6036
14,서울, 85㎡초과 102㎡이하,2016,1,6513
15,서울, 102㎡초과,2016,1,6551
16,서울, 60㎡이하,2016,2,6438
17,서울, 60㎡초과 85㎡이하,2016,2,6039
18,서울, 85㎡초과 102㎡이하,2016,2,6513
19,서울, 102㎡초과,2016,2,6458
20,서울, 60㎡이하,2016,3,6550
21,서울, 60㎡초과 85㎡이하,2016,3,6127
22,서울, 85㎡초과 102㎡이하,2016,3,7179
23,서울, 102㎡초과,2016,3,6371
24,서울, 60㎡이하,2016,4,6618
25,서울, 60㎡초과 85㎡이하,2016,4,6196
26,서울, 85㎡초과 102㎡이하,2016,4,8096
27,서울, 102㎡초과,2016,4,6353
28,서울, 60㎡이하,2016,5,6638
29,서울, 60㎡초과 85㎡이하,2016,5,6205
30,서울, 85㎡초과 102㎡이하,2016,5,7725
31,서울, 102㎡초과,2016,5,6353
32,서울, 60㎡이하,2016,6,6562
33,서울, 60㎡초과 85㎡이하,2016,6,6218
34,서울, 85㎡초과 102㎡이하,2016,6,7732
35,서울, 102㎡초과,2016,6,6365
36,서울, 60㎡이하,2016,7,6611
37,서울, 60㎡초과 85㎡이하,2016,7,6399
38,서울, 85㎡초과 102㎡이하,2016,7,7732
39,서울, 102㎡초과,2016,7,6373
40,서울, 60㎡이하,2016,8,6592
41,서울, 60㎡초과 85㎡이하,2016,8,6424
42,서울, 85㎡초과 102㎡이하,2016,8,7270
43,서울, 102㎡초과,2016,8,6603
44,서울, 60㎡이하,2016,9,6565
45,서울, 60㎡초과 85㎡이하,2016,9,6412
46,서울, 85㎡초과 102㎡이하,2016,9,7415
47,서울, 102㎡초과,2016,9,6571
48,서울, 60㎡이하,2016,10,6661
49,서울, 60㎡초과 85㎡이하,2016,10,6537
50,서울, 85㎡초과 102㎡이하,2016,10,7400
51,서울, 102㎡초과,2016,10,7241
52,서울, 60㎡이하,2016,11,6695
53,서울, 60㎡초과 85㎡이하,2016,11,6508
54,서울, 85㎡초과 102㎡이하,2016,11,6749
55,서울, 102㎡초과,2016,11,6350
56,서울, 60㎡이하,2016,12,6713
57,서울, 60㎡초과 85㎡이하,2016,12,6492
58,서울, 85㎡초과 102㎡이하,2016,12,7030
59,서울, 102㎡초과,2016,12,6771
60,서울, 60㎡이하,2017,1,6662
