,지역,규모,연도,월,분양가
0,세종, 60㎡이하,2015,10,2572
1,세종, 60㎡초과 85㎡이하,2015,10,2657
2,세종, 85㎡초과 102㎡이하,2015,10,2644
3,세종, 102㎡초과,2015,10,2692
4,세종, 60㎡이하,2015,11,2572
5,세종, 60㎡초과 85㎡이하,2015,11,2666
6,세종, 85㎡초과 102㎡이하,2015,11,2644
7,세종, 102㎡초과,2015,11,2749
8,세종, 60㎡이하,2015,12,2601
9,세종, 60㎡초과 85㎡이하,2015,12,2676
10,세종, 85㎡초과 102㎡이하,2015,12,2661
11,세종, 102㎡초과,2015,12,2752
12,세종, 60㎡이하,2016,1,2601
13,세종, 60㎡초과 85㎡이하,2016,1,2676
14,세종, 85㎡초과 102㎡이하,2016,1,2661
15,세종, 102㎡초과,2016,1,2752
16,세종, 60㎡이하,2016,2,2601
17,세종, 60㎡초과 85㎡이하,2016,2,2676
18,세종, 85㎡초과 102㎡이하,2016,2,2661
19,세종, 102㎡초과,2016,2,2752
20,세종, 60㎡이하,2016,3,2601
21,세종, 60㎡초과 85㎡이하,2016,3,2681
22,세종, 85㎡초과 102㎡이하,2016,3,2670
23,세종, 102㎡초과,2016,3,2752
24,세종, 60㎡이하,2016,4,2656
25,세종, 60㎡초과 85㎡이하,2016,4,2699
26,세종, 85㎡초과 102㎡이하,2016,4,2654
27,세종, 102㎡초과,2016,4,2714
28,세종, 60㎡이하,2016,5,2656
29,세종, 60㎡초과 85㎡이하,2016,5,2699
30,세종, 85㎡초과 102㎡이하,2016,5,2654
31,세종, 102㎡초과,2016,5,2714
32,세종, 60㎡이하,2016,6,2715
33,세종, 60㎡초과 85㎡이하,2016,6,2704
34,세종, 85㎡초과 102㎡이하,2016,6,2660
35,세종, 102㎡초과,2016,6,2610
36,세종, 60㎡이하,2016,7,2715
37,세종, 60㎡초과 85㎡이하,2016,7,2713
38,세종, 85㎡초과 102㎡이하,2016,7,2664
39,세종, 102㎡초과,2016,7,2589
40,세종, 60㎡이하,2016,8,2715
41,세종, 60㎡초과 85㎡이하,2016,8,2735
42,세종, 85㎡초과 102㎡이하,2016,8,2664
43,세종, 102㎡초과,2016,8,2585
44,세종, 60㎡이하,2016,9,2698
45,세종, 60㎡초과 85㎡이하,2016,9,2738
46,세종, 85㎡초과 102㎡이하,2016,9,2665
47,세종, 102㎡초과,2016,9,2638
48,세종, 60㎡이하,2016,10,2778
49,세종, 60㎡초과 85㎡이하,2016,10,2709
50,세종, 85㎡초과 102㎡이하,2016,10,2687
51,세종, 102㎡초과,2016,10,2651
52,세종, 60㎡이하,2016,11,2778
53,세종, 60㎡초과 85㎡이하,2016,11,2709
54,세종, 85㎡초과 102㎡이하,2016,11,2687
55,세종, 102㎡초과,2016,11,2670
56,세종, 60㎡이하,2016,12,2769
57,세종, 60㎡초과 85㎡이하,2016,12,2706
58,세종, 85㎡초과 102㎡이하,2016,12,2676
59,세종, 102㎡초과,2016,12,2673
60,세종, 60㎡이하,2017,1,2769
61,세종, 60㎡초과 85㎡이하,2017,1,2706
62,세종, 85㎡초과 102㎡이하,2017,1,2676
63,세종, 102㎡초과,2017,1,2673
64,세종, 60㎡이하,2017,2,2769
65,세종, 60㎡초과 85㎡이하,2017,2,2706
66,세종, 85㎡초과 102㎡이하,2017,2,2676
67,세종, 102㎡초과,2017,2,2673
68,세종, 60㎡이하,2017,3,2769
69,세종, 60㎡초과 85㎡이하,2017,3,2706
70,세종, 85㎡초과 102㎡이하,2017,3,2676
71,세종, 102㎡초과,2017,3,2673
72,세종, 60㎡이하,2017,4,2769
73,세종, 60㎡초과 85㎡이하,2017,4,2698
74,세종, 85㎡초과 102㎡이하,2017,4,2787
75,세종, 102㎡초과,2017,4,2713
76,세종, 60㎡이하,2017,5,2769
77,세종, 60㎡초과 85㎡이하,2017,5,2698
78,세종, 85㎡초과 102㎡이하,2017,5,2787
79,세종, 102㎡초과,2017,5,2713
80,세종, 60㎡이하,2017,6,2779
81,세종, 60㎡초과 85㎡이하,2017,6,2703
82,세종, 85㎡초과 102㎡이하,2017,6,2787
