,지역,규모,연도,월,분양가
0,울산, 60㎡이하,2015,10,2422
1,울산, 60㎡초과 85㎡이하,2015,10,3040
2,울산, 85㎡초과 102㎡이하,2015,10,2951
3,울산, 102㎡초과,2015,10,2690
4,울산, 60㎡이하,2015,11,2584
5,울산, 60㎡초과 85㎡이하,2015,11,3048
6,울산, 85㎡초과 102㎡이하,2015,11,2663
7,울산, 102㎡초과,2015,11,2874
8,울산, 60㎡이하,2015,12,2584
9,울산, 60㎡초과 85㎡이하,2015,12,3048
10,울산, 85㎡초과 102㎡이하,2015,12,2663
11,울산, 102㎡초과,2015,12,2874
12,울산, 60㎡이하,2016,1,2584
13,울산, 60㎡초과 85㎡이하,2016,1,3053
14,울산, 85㎡초과 102㎡이하,2016,1,2663
15,울산, 102㎡초과,2016,1,2874
16,울산, 60㎡이하,2016,2,2584
17,울산, 60㎡초과 85㎡이하,2016,2,3053
18,울산, 85㎡초과 102㎡이하,2016,2,2663
19,울산, 102㎡초과,2016,2,2874
20,울산, 60㎡이하,2016,3,2584
21,울산, 60㎡초과 85㎡이하,2016,3,3075
22,울산, 85㎡초과 102㎡이하,2016,3,2663
23,울산, 102㎡초과,2016,3,3057
24,울산, 60㎡이하,2016,4,2586
25,울산, 60㎡초과 85㎡이하,2016,4,3076
26,울산, 85㎡초과 102㎡이하,2016,4,2663
27,울산, 102㎡초과,2016,4,2967
28,울산, 60㎡이하,2016,5,2600
29,울산, 60㎡초과 85㎡이하,2016,5,3080
30,울산, 85㎡초과 102㎡이하,2016,5,2663
31,울산, 102㎡초과,2016,5,2967
32,울산, 60㎡이하,2016,6,2557
33,울산, 60㎡초과 85㎡이하,2016,6,3074
34,울산, 85㎡초과 102㎡이하,2016,6,2663
35,울산, 102㎡초과,2016,6,2967
36,울산, 60㎡이하,2016,7,2557
37,울산, 60㎡초과 85㎡이하,2016,7,3074
38,울산, 85㎡초과 102㎡이하,2016,7,2663
39,울산, 102㎡초과,2016,7,2967
40,울산, 60㎡이하,2016,8,2557
41,울산, 60㎡초과 85㎡이하,2016,8,2990
42,울산, 85㎡초과 102㎡이하,2016,8,2663
43,울산, 102㎡초과,2016,8,2967
44,울산, 60㎡이하,2016,9,2557
45,울산, 60㎡초과 85㎡이하,2016,9,2990
46,울산, 85㎡초과 102㎡이하,2016,9,2663
47,울산, 102㎡초과,2016,9,2967
48,울산, 60㎡이하,2016,10,2557
49,울산, 60㎡초과 85㎡이하,2016,10,3223
50,울산, 85㎡초과 102㎡이하,2016,10,2663
51,울산, 102㎡초과,2016,10,3033
52,울산, 60㎡이하,2016,11,2842
53,울산, 60㎡초과 85㎡이하,2016,11,3274
54,울산, 102㎡초과,2016,11,3195
55,울산, 60㎡이하,2016,12,2858
56,울산, 60㎡초과 85㎡이하,2016,12,3272
57,울산, 102㎡초과,2016,12,3177
58,울산, 60㎡이하,2017,1,2858
59,울산, 60㎡초과 85㎡이하,2017,1,3272
60,울산, 102㎡초과,2017,1,3177
61,울산, 60㎡이하,2017,2,2858
62,울산, 60㎡초과 85㎡이하,2017,2,3274
63,울산, 102㎡초과,2017,2,3177
64,울산, 60㎡이하,2017,3,2858
65,울산, 60㎡초과 85㎡이하,2017,3,3274
66,울산, 102㎡초과,2017,3,3177
67,울산, 60㎡이하,2017,4,2904
68,울산, 60㎡초과 85㎡이하,2017,4,3591
69,울산, 102㎡초과,2017,4,3137
70,울산, 60㎡이하,2017,5,2904
71,울산, 60㎡초과 85㎡이하,2017,5,3591
72,울산, 102㎡초과,2017,5,3137
73,울산, 60㎡이하,2017,6,2904
74,울산, 60㎡초과 85㎡이하,2017,6,3594
75,울산, 102㎡초과,2017,6,3137
76,울산, 60㎡이하,2017,7,2904
77,울산, 60㎡초과 85㎡이하,2017,7,3594
78,울산, 102㎡초과,2017,7,3137
79,울산, 60㎡이하,2017,8,2904
80,울산, 60㎡초과 85㎡이하,2017,8,3594
81,울산, 102㎡초과,2017,8,3137
82,울산, 60㎡이하,2017,9,2904
83,울산, 60㎡초과 85㎡이하,2017,9,3594
84,울산, 102㎡초과,2017,9,3137
85,울산, 60㎡이하,2017,10,2904
86,울산, 60㎡초과 85㎡이하,2017,10,3388
87,울산, 102㎡초과,2017,10,2761
88,울산, 60㎡이하,2017,11,2904
89,울산, 60㎡초과 85㎡이하,2017,11,3378
90,울산, 102㎡초과,2017,11,2761
91,울산, 60㎡초과 85㎡이하,2017,12,3162
92,울산, 60㎡초과 85㎡이하,2018,1,3162
93,울산, 60㎡초과 85㎡이하,2018,2,3174
94,울산, 60㎡초과 85㎡이하,2018,3,3174
95,울산, 60㎡초과 85㎡이하,2018,4,3174
96,울산, 60㎡초과 85㎡이하,2018,5,3174
97,울산, 60㎡초과 85㎡이하,2018,6,3125
98,울산, 60㎡초과 85㎡이하,2018,7,3125
99,울산, 60㎡초과 85㎡이하,2018,8,3125
100,울산, 60㎡초과 85㎡이하,2018,9,3125
101,울산, 60㎡초과 85㎡이하,2018,10,2890
102,울산, 60㎡초과 85㎡이하,2018,11,2890
103,울산, 60㎡이하,2019,9,2755
104,울산, 60㎡초과 85㎡이하,2019,9,2716
105,울산, 60㎡이하,2019,10,3399
106,울산, 60㎡초과 85㎡이하,2019,10,3110
107,울산, 60㎡이하,2019,11,3399
108,울산, 60㎡초과 85㎡이하,2019,11,3110
109,울산, 60㎡이하,2019,12,3399
110,울산, 60㎡초과 85㎡이하,2019,12,3114
111,울산, 60㎡이하,2020,1,3399
112,울산, 60㎡초과 85㎡이하,2020,1,3114
113,울산, 60㎡이하,2020,2,3399
114,울산, 60㎡초과 85㎡이하,2020,2,3114
