,지역,규모,연도,월,분양가
0,인천, 60㎡이하,2015,10,3488
1,인천, 60㎡초과 85㎡이하,2015,10,3119
2,인천, 85㎡초과 102㎡이하,2015,10,3545
3,인천, 102㎡초과,2015,10,3408
4,인천, 60㎡이하,2015,11,3328
5,인천, 60㎡초과 85㎡이하,2015,11,3119
6,인천, 85㎡초과 102㎡이하,2015,11,3545
7,인천, 102㎡초과,2015,11,3408
8,인천, 60㎡이하,2015,12,3328
9,인천, 60㎡초과 85㎡이하,2015,12,3119
10,인천, 85㎡초과 102㎡이하,2015,12,3545
11,인천, 102㎡초과,2015,12,3408
12,인천, 60㎡이하,2016,1,3328
13,인천, 60㎡초과 85㎡이하,2016,1,3110
14,인천, 85㎡초과 102㎡이하,2016,1,3545
15,인천, 102㎡초과,2016,1,3408
16,인천, 60㎡이하,2016,2,3328
17,인천, 60㎡초과 85㎡이하,2016,2,3112
18,인천, 85㎡초과 102㎡이하,2016,2,3545
19,인천, 102㎡초과,2016,2,3408
20,인천, 60㎡이하,2016,3,3323
21,인천, 60㎡초과 85㎡이하,2016,3,3111
22,인천, 85㎡초과 102㎡이하,2016,3,3545
23,인천, 102㎡초과,2016,3,3408
24,인천, 60㎡이하,2016,4,3323
25,인천, 60㎡초과 85㎡이하,2016,4,3147
26,인천, 85㎡초과 102㎡이하,2016,4,3545
27,인천, 102㎡초과,2016,4,4839
28,인천, 60㎡이하,2016,5,3323
29,인천, 60㎡초과 85㎡이하,2016,5,3147
30,인천, 85㎡초과 102㎡이하,2016,5,3367
31,인천, 102㎡초과,2016,5,4192
32,인천, 60㎡이하,2016,6,2981
33,인천, 60㎡초과 85㎡이하,2016,6,3353
34,인천, 85㎡초과 102㎡이하,2016,6,3453
35,인천, 102㎡초과,2016,6,3576
36,인천, 60㎡이하,2016,7,2970
37,인천, 60㎡초과 85㎡이하,2016,7,3272
38,인천, 85㎡초과 102㎡이하,2016,7,3454
39,인천, 102㎡초과,2016,7,3599
40,인천, 60㎡이하,2016,8,3007
41,인천, 60㎡초과 85㎡이하,2016,8,3289
42,인천, 85㎡초과 102㎡이하,2016,8,3454
43,인천, 102㎡초과,2016,8,3632
44,인천, 60㎡이하,2016,9,3002
45,인천, 60㎡초과 85㎡이하,2016,9,3121
46,인천, 85㎡초과 102㎡이하,2016,9,3366
47,인천, 102㎡초과,2016,9,3632
48,인천, 60㎡이하,2016,10,3041
49,인천, 60㎡초과 85㎡이하,2016,10,3153
50,인천, 85㎡초과 102㎡이하,2016,10,3311
51,인천, 102㎡초과,2016,10,4201
52,인천, 60㎡이하,2016,11,3121
53,인천, 60㎡초과 85㎡이하,2016,11,3153
54,인천, 85㎡초과 102㎡이하,2016,11,3311
55,인천, 102㎡초과,2016,11,4201
56,인천, 60㎡이하,2016,12,3181
57,인천, 60㎡초과 85㎡이하,2016,12,3137
58,인천, 85㎡초과 102㎡이하,2016,12,3275
59,인천, 102㎡초과,2016,12,4201
60,인천, 60㎡이하,2017,1,3181
61,인천, 60㎡초과 85㎡이하,2017,1,3137
62,인천, 85㎡초과 102㎡이하,2017,1,3275
63,인천, 102㎡초과,2017,1,4201
64,인천, 60㎡이하,2017,2,3197
65,인천, 60㎡초과 85㎡이하,2017,2,3171
66,인천, 85㎡초과 102㎡이하,2017,2,3275
67,인천, 102㎡초과,2017,2,4201
68,인천, 60㎡이하,2017,3,3268
69,인천, 60㎡초과 85㎡이하,2017,3,3177
70,인천, 85㎡초과 102㎡이하,2017,3,3275
71,인천, 102㎡초과,2017,3,4201
72,인천, 60㎡이하,2017,4,3268
73,인천, 60㎡초과 85㎡이하,2017,4,3177
74,인천, 85㎡초과 102㎡이하,2017,4,3275
75,인천, 102㎡초과,2017,4,4201
76,인천, 60㎡이하,2017,5,3268
77,인천, 60㎡초과 85㎡이하,2017,5,3290
78,인천, 85㎡초과 102㎡이하,2017,5,3392
79,인천, 102㎡초과,2017,5,4256
80,인천, 60㎡이하,2017,6,3268
81,인천, 60㎡초과 85㎡이하,2017,6,3327
82,인천, 85㎡초과 102㎡이하,2017,6,3439
83,인천, 102㎡초과,2017,6,4055
84,인천, 60㎡이하,2017,7,3272
85,인천, 60㎡초과 85㎡이하,2017,7,3323
86,인천, 85㎡초과 102㎡이하,2017,7,3427
87,인천, 102㎡초과,2017,7,4518
88,인천, 60㎡이하,2017,8,3209
89,인천, 60㎡초과 85㎡이하,2017,8,3276
90,인천, 85㎡초과 102㎡이하,2017,8,3427
91,인천, 102㎡초과,2017,8,4986
92,인천, 60㎡이하,2017,9,3330
93,인천, 60㎡초과 85㎡이하,2017,9,3307
94,인천, 85㎡초과 102㎡이하,2017,9,3478
95,인천, 102㎡초과,2017,9,4986
96,인천, 60㎡이하,2017,10,3330
97,인천, 60㎡초과 85㎡이하,2017,10,3306
98,인천, 85㎡초과 102㎡이하,2017,10,3445
99,인천, 102㎡초과,2017,10,4835
100,인천, 60㎡이하,2017,11,3330
101,인천, 60㎡초과 85㎡이하,2017,11,3306
102,인천, 85㎡초과 102㎡이하,2017,11,3445
103,인천, 102㎡초과,2017,11,4835
104,인천, 60㎡이하,2017,12,3354
105,인천, 60㎡초과 85㎡이하,2017,12,3324
106,인천, 85㎡초과 102㎡이하,2017,12,3478
107,인천, 102㎡초과,2017,12,4835
108,인천, 60㎡이하,2018,1,3376
109,인천, 60㎡초과 85㎡이하,2018,1,3324
110,인천, 85㎡초과 102㎡이하,2018,1,3478
111,인천, 102㎡초과,2018,1,4835
112,인천, 60㎡이하,2018,2,3433
113,인천, 60㎡초과 85㎡이하,2018,2,3338
114,인천, 85㎡초과 102㎡이하,2018,2,3478
115,인천, 102㎡초과,2018,2,4835
116,인천, 60㎡이하,2018,3,3754
117,인천, 60㎡초과 85㎡이하,2018,3,3448
118,인천, 85㎡초과 102㎡이하,2018,3,3395
119,인천, 102㎡초과,2018,3,4835
120,인천, 60㎡이하,2018,4,3754
121,인천, 60㎡초과 85㎡이하,2018,4,3448
122,인천, 85㎡초과 102㎡이하,2018,4,3395
123,인천, 102㎡초과,2018,4,4835
124,인천, 60㎡이하,2018,5,3454
125,인천, 60㎡초과 85㎡이하,2018,5,3567
126,인천, 85㎡초과 102㎡이하,2018,5,3470
127,인천, 102㎡초과,2018,5,4835
128,인천, 60㎡이하,2018,6,3454
129,인천, 60㎡초과 85㎡이하,2018,6,3537
130,인천, 85㎡초과 102㎡이하,2018,6,3229
131,인천, 60㎡이하,2018,7,3454
132,인천, 60㎡초과 85㎡이하,2018,7,3537
133,인천, 85㎡초과 102㎡이하,2018,7,3229
134,인천, 60㎡이하,2018,8,3456
135,인천, 60㎡초과 85㎡이하,2018,8,3505
136,인천, 85㎡초과 102㎡이하,2018,8,3229
137,인천, 60㎡이하,2018,9,3456
138,인천, 60㎡초과 85㎡이하,2018,9,3505
139,인천, 85㎡초과 102㎡이하,2018,9,3229
140,인천, 60㎡이하,2018,10,3422
141,인천, 60㎡초과 85㎡이하,2018,10,3630
142,인천, 85㎡초과 102㎡이하,2018,10,3391
143,인천, 102㎡초과,2018,10,2890
144,인천, 60㎡이하,2018,11,3437
145,인천, 60㎡초과 85㎡이하,2018,11,3725
146,인천, 85㎡초과 102㎡이하,2018,11,3492
147,인천, 102㎡초과,2018,11,4455
148,인천, 60㎡이하,2018,12,3403
149,인천, 60㎡초과 85㎡이하,2018,12,3731
150,인천, 85㎡초과 102㎡이하,2018,12,3492
151,인천, 102㎡초과,2018,12,4455
152,인천, 60㎡이하,2019,1,3461
153,인천, 60㎡초과 85㎡이하,2019,1,3766
154,인천, 85㎡초과 102㎡이하,2019,1,3492
155,인천, 102㎡초과,2019,1,4455
156,인천, 60㎡이하,2019,2,3455
157,인천, 60㎡초과 85㎡이하,2019,2,3779
158,인천, 85㎡초과 102㎡이하,2019,2,3492
159,인천, 102㎡초과,2019,2,4835
160,인천, 60㎡이하,2019,3,3415
161,인천, 60㎡초과 85㎡이하,2019,3,3907
