,지역,규모,연도,월,분양가
0,전남, 60㎡이하,2015,10,1999
1,전남, 60㎡초과 85㎡이하,2015,10,1922
2,전남, 85㎡초과 102㎡이하,2015,10,2262
3,전남, 102㎡초과,2015,10,2292
4,전남, 60㎡이하,2015,11,1999
5,전남, 60㎡초과 85㎡이하,2015,11,1906
6,전남, 85㎡초과 102㎡이하,2015,11,2262
7,전남, 102㎡초과,2015,11,2176
8,전남, 60㎡이하,2015,12,1999
9,전남, 60㎡초과 85㎡이하,2015,12,1906
10,전남, 85㎡초과 102㎡이하,2015,12,2262
11,전남, 102㎡초과,2015,12,2176
12,전남, 60㎡이하,2016,1,1999
13,전남, 60㎡초과 85㎡이하,2016,1,1906
14,전남, 85㎡초과 102㎡이하,2016,1,2262
15,전남, 102㎡초과,2016,1,2176
16,전남, 60㎡이하,2016,2,1999
17,전남, 60㎡초과 85㎡이하,2016,2,1921
18,전남, 85㎡초과 102㎡이하,2016,2,2262
19,전남, 102㎡초과,2016,2,2176
20,전남, 60㎡이하,2016,3,2002
21,전남, 60㎡초과 85㎡이하,2016,3,1919
22,전남, 85㎡초과 102㎡이하,2016,3,2262
23,전남, 102㎡초과,2016,3,2176
24,전남, 60㎡이하,2016,4,1989
25,전남, 60㎡초과 85㎡이하,2016,4,1923
26,전남, 85㎡초과 102㎡이하,2016,4,2262
27,전남, 102㎡초과,2016,4,2176
28,전남, 60㎡이하,2016,5,1989
29,전남, 60㎡초과 85㎡이하,2016,5,1925
30,전남, 85㎡초과 102㎡이하,2016,5,2262
31,전남, 102㎡초과,2016,5,2176
32,전남, 60㎡이하,2016,6,1989
33,전남, 60㎡초과 85㎡이하,2016,6,1964
34,전남, 85㎡초과 102㎡이하,2016,6,2364
35,전남, 102㎡초과,2016,6,2264
36,전남, 60㎡이하,2016,7,1989
37,전남, 60㎡초과 85㎡이하,2016,7,1965
38,전남, 85㎡초과 102㎡이하,2016,7,2364
39,전남, 102㎡초과,2016,7,2264
40,전남, 60㎡이하,2016,8,1989
41,전남, 60㎡초과 85㎡이하,2016,8,1963
42,전남, 85㎡초과 102㎡이하,2016,8,2364
43,전남, 102㎡초과,2016,8,2264
44,전남, 60㎡이하,2016,9,1997
45,전남, 60㎡초과 85㎡이하,2016,9,1966
46,전남, 85㎡초과 102㎡이하,2016,9,2364
47,전남, 102㎡초과,2016,9,2264
48,전남, 60㎡이하,2016,10,2058
49,전남, 60㎡초과 85㎡이하,2016,10,1984
50,전남, 85㎡초과 102㎡이하,2016,10,2467
51,전남, 102㎡초과,2016,10,2157
52,전남, 60㎡이하,2016,11,2058
