,지역,규모,연도,월,분양가
0,전북, 60㎡이하,2015,10,2127
1,전북, 60㎡초과 85㎡이하,2015,10,2056
2,전북, 85㎡초과 102㎡이하,2015,10,2377
3,전북, 102㎡초과,2015,10,2250
4,전북, 60㎡이하,2015,11,2129
5,전북, 60㎡초과 85㎡이하,2015,11,2057
6,전북, 85㎡초과 102㎡이하,2015,11,2377
7,전북, 102㎡초과,2015,11,2282
8,전북, 60㎡이하,2015,12,1925
9,전북, 60㎡초과 85㎡이하,2015,12,1987
10,전북, 85㎡초과 102㎡이하,2015,12,2377
11,전북, 102㎡초과,2015,12,2282
12,전북, 60㎡이하,2016,1,1908
13,전북, 60㎡초과 85㎡이하,2016,1,1987
14,전북, 85㎡초과 102㎡이하,2016,1,2377
15,전북, 102㎡초과,2016,1,2282
16,전북, 60㎡이하,2016,2,1908
17,전북, 60㎡초과 85㎡이하,2016,2,1987
18,전북, 85㎡초과 102㎡이하,2016,2,2377
19,전북, 102㎡초과,2016,2,2283
20,전북, 60㎡이하,2016,3,1910
21,전북, 60㎡초과 85㎡이하,2016,3,1959
22,전북, 85㎡초과 102㎡이하,2016,3,2269
23,전북, 102㎡초과,2016,3,2293
24,전북, 60㎡이하,2016,4,1900
25,전북, 60㎡초과 85㎡이하,2016,4,1916
26,전북, 85㎡초과 102㎡이하,2016,4,2269
27,전북, 102㎡초과,2016,4,2380
28,전북, 60㎡이하,2016,5,1909
29,전북, 60㎡초과 85㎡이하,2016,5,1955
30,전북, 85㎡초과 102㎡이하,2016,5,2269
31,전북, 102㎡초과,2016,5,2322
32,전북, 60㎡이하,2016,6,1909
33,전북, 60㎡초과 85㎡이하,2016,6,1940
34,전북, 85㎡초과 102㎡이하,2016,6,2269
35,전북, 102㎡초과,2016,6,2322
36,전북, 60㎡이하,2016,7,1924
37,전북, 60㎡초과 85㎡이하,2016,7,1936
38,전북, 85㎡초과 102㎡이하,2016,7,2290
39,전북, 102㎡초과,2016,7,2323
40,전북, 60㎡이하,2016,8,1929
41,전북, 60㎡초과 85㎡이하,2016,8,1936
42,전북, 85㎡초과 102㎡이하,2016,8,2290
43,전북, 102㎡초과,2016,8,2323
44,전북, 60㎡이하,2016,9,1935
45,전북, 60㎡초과 85㎡이하,2016,9,1930
46,전북, 85㎡초과 102㎡이하,2016,9,2297
47,전북, 102㎡초과,2016,9,2323
48,전북, 60㎡이하,2016,10,1942
49,전북, 60㎡초과 85㎡이하,2016,10,1933
50,전북, 85㎡초과 102㎡이하,2016,10,2305
51,전북, 102㎡초과,2016,10,2324
52,전북, 60㎡이하,2016,11,1942
53,전북, 60㎡초과 85㎡이하,2016,11,1934
54,전북, 85㎡초과 102㎡이하,2016,11,2305
55,전북, 102㎡초과,2016,11,2321
56,전북, 60㎡이하,2016,12,2265
57,전북, 60㎡초과 85㎡이하,2016,12,2004
58,전북, 85㎡초과 102㎡이하,2016,12,2305
59,전북, 102㎡초과,2016,12,2321
60,전북, 60㎡이하,2017,1,2315
61,전북, 60㎡초과 85㎡이하,2017,1,2004
62,전북, 85㎡초과 102㎡이하,2017,1,2305
63,전북, 102㎡초과,2017,1,2321
64,전북, 60㎡이하,2017,2,2346
65,전북, 60㎡초과 85㎡이하,2017,2,1987
66,전북, 85㎡초과 102㎡이하,2017,2,2305
67,전북, 102㎡초과,2017,2,2300
68,전북, 60㎡이하,2017,3,2350
69,전북, 60㎡초과 85㎡이하,2017,3,2040
70,전북, 85㎡초과 102㎡이하,2017,3,2321
71,전북, 102㎡초과,2017,3,2315
72,전북, 60㎡이하,2017,4,2350
73,전북, 60㎡초과 85㎡이하,2017,4,2101
74,전북, 85㎡초과 102㎡이하,2017,4,2321
75,전북, 102㎡초과,2017,4,2315
76,전북, 60㎡이하,2017,5,2322
77,전북, 60㎡초과 85㎡이하,2017,5,2127
78,전북, 85㎡초과 102㎡이하,2017,5,2321
79,전북, 102㎡초과,2017,5,2373
80,전북, 60㎡이하,2017,6,2322
81,전북, 60㎡초과 85㎡이하,2017,6,2197
82,전북, 85㎡초과 102㎡이하,2017,6,2321
83,전북, 102㎡초과,2017,6,2373
84,전북, 60㎡이하,2017,7,2374
85,전북, 60㎡초과 85㎡이하,2017,7,2194
86,전북, 85㎡초과 102㎡이하,2017,7,2456
87,전북, 102㎡초과,2017,7,2281
88,전북, 60㎡이하,2017,8,2352
89,전북, 60㎡초과 85㎡이하,2017,8,2211
90,전북, 85㎡초과 102㎡이하,2017,8,2456
91,전북, 102㎡초과,2017,8,2281
92,전북, 60㎡이하,2017,9,2294
93,전북, 60㎡초과 85㎡이하,2017,9,2219
94,전북, 102㎡초과,2017,9,2138
95,전북, 60㎡이하,2017,10,2259
96,전북, 60㎡초과 85㎡이하,2017,10,2173
97,전북, 102㎡초과,2017,10,2138
98,전북, 60㎡이하,2017,11,2259
99,전북, 60㎡초과 85㎡이하,2017,11,2192
100,전북, 102㎡초과,2017,11,2441
101,전북, 60㎡이하,2017,12,2259
102,전북, 60㎡초과 85㎡이하,2017,12,2215
103,전북, 85㎡초과 102㎡이하,2017,12,2221
104,전북, 102㎡초과,2017,12,2433
105,전북, 60㎡이하,2018,1,2259
106,전북, 60㎡초과 85㎡이하,2018,1,2215
107,전북, 85㎡초과 102㎡이하,2018,1,2221
108,전북, 102㎡초과,2018,1,2433
109,전북, 60㎡이하,2018,2,2183
110,전북, 60㎡초과 85㎡이하,2018,2,2261
111,전북, 85㎡초과 102㎡이하,2018,2,2221
112,전북, 102㎡초과,2018,2,2428
113,전북, 60㎡이하,2018,3,2183
114,전북, 60㎡초과 85㎡이하,2018,3,2250
115,전북, 85㎡초과 102㎡이하,2018,3,2221
116,전북, 102㎡초과,2018,3,2428
117,전북, 60㎡이하,2018,4,2602
118,전북, 60㎡초과 85㎡이하,2018,4,2292
119,전북, 85㎡초과 102㎡이하,2018,4,2636
120,전북, 102㎡초과,2018,4,2794
121,전북, 60㎡이하,2018,5,2664
122,전북, 60㎡초과 85㎡이하,2018,5,2300
123,전북, 85㎡초과 102㎡이하,2018,5,2636
124,전북, 102㎡초과,2018,5,2794
125,전북, 60㎡이하,2018,6,2664
126,전북, 60㎡초과 85㎡이하,2018,6,2300
127,전북, 85㎡초과 102㎡이하,2018,6,2636
128,전북, 102㎡초과,2018,6,2794
129,전북, 60㎡이하,2018,7,2655
130,전북, 60㎡초과 85㎡이하,2018,7,2306
131,전북, 85㎡초과 102㎡이하,2018,7,2636
132,전북, 102㎡초과,2018,7,2850
133,전북, 60㎡이하,2018,8,2655
134,전북, 60㎡초과 85㎡이하,2018,8,2285
135,전북, 85㎡초과 102㎡이하,2018,8,2636
136,전북, 102㎡초과,2018,8,2850
137,전북, 60㎡이하,2018,9,2655
138,전북, 60㎡초과 85㎡이하,2018,9,2285
139,전북, 85㎡초과 102㎡이하,2018,9,2636
140,전북, 102㎡초과,2018,9,2850
141,전북, 60㎡이하,2018,10,2666
142,전북, 60㎡초과 85㎡이하,2018,10,2301
143,전북, 85㎡초과 102㎡이하,2018,10,2636
144,전북, 102㎡초과,2018,10,2627
145,전북, 60㎡이하,2018,11,2666
146,전북, 60㎡초과 85㎡이하,2018,11,2326
147,전북, 85㎡초과 102㎡이하,2018,11,2636
148,전북, 102㎡초과,2018,11,2593
149,전북, 60㎡이하,2018,12,2666
150,전북, 60㎡초과 85㎡이하,2018,12,2365
151,전북, 85㎡초과 102㎡이하,2018,12,3052
152,전북, 102㎡초과,2018,12,2651
153,전북, 60㎡이하,2019,1,2666
154,전북, 60㎡초과 85㎡이하,2019,1,2365
155,전북, 85㎡초과 102㎡이하,2019,1,3052
156,전북, 102㎡초과,2019,1,2651
157,전북, 60㎡이하,2019,2,2666
158,전북, 60㎡초과 85㎡이하,2019,2,2372
159,전북, 85㎡초과 102㎡이하,2019,2,3052
160,전북, 102㎡초과,2019,2,2753
161,전북, 60㎡이하,2019,3,2666
162,전북, 60㎡초과 85㎡이하,2019,3,2435
163,전북, 85㎡초과 102㎡이하,2019,3,3052
164,전북, 102㎡초과,2019,3,2753
165,전북, 60㎡이하,2019,4,2404
166,전북, 60㎡초과 85㎡이하,2019,4,2394
167,전북, 85㎡초과 102㎡이하,2019,4,2724
168,전북, 102㎡초과,2019,4,2634
169,전북, 60㎡이하,2019,5,2397
170,전북, 60㎡초과 85㎡이하,2019,5,2465
171,전북, 85㎡초과 102㎡이하,2019,5,2724
172,전북, 102㎡초과,2019,5,2634
173,전북, 60㎡이하,2019,6,2397
174,전북, 60㎡초과 85㎡이하,2019,6,2465
175,전북, 85㎡초과 102㎡이하,2019,6,2724
176,전북, 102㎡초과,2019,6,2634
177,전북, 60㎡이하,2019,7,2348
178,전북, 60㎡초과 85㎡이하,2019,7,2487
179,전북, 85㎡초과 102㎡이하,2019,7,2724
180,전북, 102㎡초과,2019,7,2698
181,전북, 60㎡이하,2019,8,2348
182,전북, 60㎡초과 85㎡이하,2019,8,2630
183,전북, 85㎡초과 102㎡이하,2019,8,2724
184,전북, 102㎡초과,2019,8,2698
185,전북, 60㎡이하,2019,9,2348
186,전북, 60㎡초과 85㎡이하,2019,9,2630
187,전북, 85㎡초과 102㎡이하,2019,9,2724
188,전북, 102㎡초과,2019,9,2698
189,전북, 60㎡이하,2019,10,2387
190,전북, 60㎡초과 85㎡이하,2019,10,2542
191,전북, 85㎡초과 102㎡이하,2019,10,2764
192,전북, 102㎡초과,2019,10,2667
193,전북, 60㎡이하,2019,11,2526
194,전북, 60㎡초과 85㎡이하,2019,11,2458
195,전북, 85㎡초과 102㎡이하,2019,11,2764
196,전북, 102㎡초과,2019,11,2667
197,전북, 60㎡이하,2019,12,2526
198,전북, 60㎡초과 85㎡이하,2019,12,2458
199,전북, 85㎡초과 102㎡이하,2019,12,2764
200,전북, 102㎡초과,2019,12,2667
201,전북, 60㎡이하,2020,1,2526
202,전북, 60㎡초과 85㎡이하,2020,1,2458
203,전북, 85㎡초과 102㎡이하,2020,1,2764
204,전북, 102㎡초과,2020,1,2667
205,전북, 60㎡이하,2020,2,2526
206,전북, 60㎡초과 85㎡이하,2020,2,2458
207,전북, 85㎡초과 102㎡이하,2020,2,2764
208,전북, 102㎡초과,2020,2,2667
