,지역,규모,연도,월,분양가
0,제주, 60㎡초과 85㎡이하,2015,10,2225
1,제주, 85㎡초과 102㎡이하,2015,10,2583
2,제주, 102㎡초과,2015,10,2574
3,제주, 60㎡초과 85㎡이하,2015,11,2225
4,제주, 85㎡초과 102㎡이하,2015,11,2583
5,제주, 102㎡초과,2015,11,2574
6,제주, 60㎡초과 85㎡이하,2015,12,2260
7,제주, 85㎡초과 102㎡이하,2015,12,2583
8,제주, 102㎡초과,2015,12,2574
9,제주, 60㎡초과 85㎡이하,2016,1,2260
10,제주, 85㎡초과 102㎡이하,2016,1,2583
11,제주, 102㎡초과,2016,1,2574
12,제주, 60㎡초과 85㎡이하,2016,2,2260
13,제주, 85㎡초과 102㎡이하,2016,2,2583
14,제주, 102㎡초과,2016,2,2574
15,제주, 60㎡초과 85㎡이하,2016,3,2314
16,제주, 60㎡이하,2016,4,2853
17,제주, 60㎡초과 85㎡이하,2016,4,2752
18,제주, 85㎡초과 102㎡이하,2016,4,2725
19,제주, 102㎡초과,2016,4,2602
20,제주, 60㎡이하,2016,5,2853
21,제주, 60㎡초과 85㎡이하,2016,5,2712
22,제주, 85㎡초과 102㎡이하,2016,5,2708
23,제주, 102㎡초과,2016,5,2605
24,제주, 60㎡이하,2016,6,2853
25,제주, 60㎡초과 85㎡이하,2016,6,2730
26,제주, 85㎡초과 102㎡이하,2016,6,3107
27,제주, 102㎡초과,2016,6,2605
28,제주, 60㎡이하,2016,7,2853
29,제주, 60㎡초과 85㎡이하,2016,7,2730
30,제주, 85㎡초과 102㎡이하,2016,7,3107
31,제주, 102㎡초과,2016,7,2605
32,제주, 60㎡이하,2016,8,2853
33,제주, 60㎡초과 85㎡이하,2016,8,2768
34,제주, 85㎡초과 102㎡이하,2016,8,3107
35,제주, 102㎡초과,2016,8,2605
36,제주, 60㎡이하,2016,9,4091
37,제주, 60㎡초과 85㎡이하,2016,9,2994
38,제주, 85㎡초과 102㎡이하,2016,9,3157
39,제주, 102㎡초과,2016,9,3082
40,제주, 60㎡이하,2016,10,4091
41,제주, 60㎡초과 85㎡이하,2016,10,2994
42,제주, 85㎡초과 102㎡이하,2016,10,3157
43,제주, 102㎡초과,2016,10,3082
44,제주, 60㎡이하,2016,11,4091
45,제주, 60㎡초과 85㎡이하,2016,11,3024
46,제주, 85㎡초과 102㎡이하,2016,11,3157
47,제주, 102㎡초과,2016,11,3082
48,제주, 60㎡이하,2016,12,4091
49,제주, 60㎡초과 85㎡이하,2016,12,3048
50,제주, 85㎡초과 102㎡이하,2016,12,3157
51,제주, 102㎡초과,2016,12,3082
52,제주, 60㎡이하,2017,1,4091
53,제주, 60㎡초과 85㎡이하,2017,1,3036
54,제주, 85㎡초과 102㎡이하,2017,1,3157
55,제주, 102㎡초과,2017,1,3082
56,제주, 60㎡이하,2017,2,4038
57,제주, 60㎡초과 85㎡이하,2017,2,3042
58,제주, 85㎡초과 102㎡이하,2017,2,3157
