,지역,규모,연도,월,분양가
0,충남, 60㎡이하,2015,10,2206
1,충남, 60㎡초과 85㎡이하,2015,10,2101
2,충남, 85㎡초과 102㎡이하,2015,10,2743
3,충남, 102㎡초과,2015,10,2442
4,충남, 60㎡이하,2015,11,2214
5,충남, 60㎡초과 85㎡이하,2015,11,2105
6,충남, 85㎡초과 102㎡이하,2015,11,2523
7,충남, 102㎡초과,2015,11,2468
8,충남, 60㎡이하,2015,12,2438
9,충남, 60㎡초과 85㎡이하,2015,12,2279
10,충남, 85㎡초과 102㎡이하,2015,12,2523
11,충남, 102㎡초과,2015,12,2444
12,충남, 60㎡이하,2016,1,2481
13,충남, 60㎡초과 85㎡이하,2016,1,2281
14,충남, 85㎡초과 102㎡이하,2016,1,2541
15,충남, 102㎡초과,2016,1,2444
16,충남, 60㎡이하,2016,2,2496
17,충남, 60㎡초과 85㎡이하,2016,2,2282
18,충남, 85㎡초과 102㎡이하,2016,2,2541
19,충남, 102㎡초과,2016,2,2444
20,충남, 60㎡이하,2016,3,2226
21,충남, 60㎡초과 85㎡이하,2016,3,2114
22,충남, 85㎡초과 102㎡이하,2016,3,2541
23,충남, 102㎡초과,2016,3,2444
24,충남, 60㎡이하,2016,4,2295
25,충남, 60㎡초과 85㎡이하,2016,4,2160
26,충남, 85㎡초과 102㎡이하,2016,4,2541
27,충남, 102㎡초과,2016,4,2638
28,충남, 60㎡이하,2016,5,2301
29,충남, 60㎡초과 85㎡이하,2016,5,2150
30,충남, 85㎡초과 102㎡이하,2016,5,2554
31,충남, 102㎡초과,2016,5,2638
32,충남, 60㎡이하,2016,6,2299
33,충남, 60㎡초과 85㎡이하,2016,6,2188
34,충남, 85㎡초과 102㎡이하,2016,6,2614
35,충남, 102㎡초과,2016,6,2749
36,충남, 60㎡이하,2016,7,2299
37,충남, 60㎡초과 85㎡이하,2016,7,2188
38,충남, 85㎡초과 102㎡이하,2016,7,2614
39,충남, 102㎡초과,2016,7,2749
40,충남, 60㎡이하,2016,8,2328
41,충남, 60㎡초과 85㎡이하,2016,8,2225
42,충남, 85㎡초과 102㎡이하,2016,8,2614
43,충남, 102㎡초과,2016,8,2765
44,충남, 60㎡이하,2016,9,2328
45,충남, 60㎡초과 85㎡이하,2016,9,2225
46,충남, 85㎡초과 102㎡이하,2016,9,2614
47,충남, 102㎡초과,2016,9,2765
48,충남, 60㎡이하,2016,10,2290
49,충남, 60㎡초과 85㎡이하,2016,10,2243
50,충남, 85㎡초과 102㎡이하,2016,10,2614
51,충남, 102㎡초과,2016,10,2765
52,충남, 60㎡이하,2016,11,2322
53,충남, 60㎡초과 85㎡이하,2016,11,2278
54,충남, 85㎡초과 102㎡이하,2016,11,2926
55,충남, 102㎡초과,2016,11,2685
56,충남, 60㎡이하,2016,12,2355
57,충남, 60㎡초과 85㎡이하,2016,12,2273
58,충남, 85㎡초과 102㎡이하,2016,12,2926
59,충남, 102㎡초과,2016,12,2685
60,충남, 60㎡이하,2017,1,2335
61,충남, 60㎡초과 85㎡이하,2017,1,2236
